Property Name,Reported,Tax Parcel,Largest Property Type,Building Address,Zip,Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft²),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Property Owner Name,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
045-HIESB,Reported,703436000,Hotel,69 R. Boston Street,2125,58051.0,,77.0,,Hotel,2010.0,285.6,4.9,4536761.1,0.5787,0.4213,,,,,,58.79,Not Available,,,,285600.0,submitted,
046-CYMSB,Reported,703436001,Hotel,63 R. Boston Street,2125,99213.0,,99.0,,Hotel,2010.0,249.8,2.5,3962006.5,0.5838,0.4162,,,,,,12.61,Not Available,,,,249800.0,submitted,
Beacon Exeter Apartments,Reported,503271000,Multifamily Housing,282 Beacon Street,2116,36300.0,,,,Multifamily Housing,1927.0,151.8,4.2,2698355.2,0.184,0.816,,,,,,12.41,Not Available,,,,151800.0,submitted,
Boston Medical Center,Reported,0801067020 0801243000 0801254000 0801299000 0801301000 0801420000 0801420020,Hospital (General Medical & Surgical),One Boston Medical Center Place,2118,3734803.0,,63.0,,"Hospital (General Medical & Surgical), Parking",1986.0,39878.4,13.8,629730971,0.2537,0.326,0.4437,,,,,25.49,Not Available,Crosstown Center added 801 Massachusetts Avenue,,,39878400.0,submitted,
9 Channel Center,Reported,602750045,Office,9 Channel Center Street ,2210,70167.0,,72.0,,Office,1908.0,172.2,2.5,2455999,1.0,,,,,,,2.28,Not Available,,,,172200.0,submitted,
660 Huntington Ave-College/University,Reported,1000037000,College/University,660 Huntington Ave,2115,58315.0,,,,College/University,2013.0,120.8,2.1,2229527.3,0.623,0.9377,,,,,,Not Available,Not Available,,,,120800.0,submitted,
1 Palace Rd-collegeUniversity,Reported,401836000,College/University,1 Palace Rd,2115,110327.0,,,,College/University,1995.0,876.2,7.9,12493580.4,1.0,,,,,,,Not Available,Not Available,,,,876200.0,submitted,
662 Huntington Ave-collegeUniversity,Reported,1000150000,College/University,662 Huntingtn Ave,2115,51729.0,,,,College/University,1995.0,427.7,8.3,7208479.8,0.3657,0.6343,,,,,,Not Available,Not Available,,,,427700.0,submitted,
179 Longwood Ave-collegeUniversity,Reported,401844000,College/University,179 Longwood Ave,2115,347844.0,,,,College/University,1995.0,196.8,0.6,2899349.2,0.8671,0.1329,,,,,,Not Available,Not Available,,,,196800.0,submitted,
St Joseph's Community Inc,Reported,903820000,Multifamily Housing,86 Crispus Attucks Pl,2119,140932.0,,60.0,,Multifamily Housing,1990.0,714.3,5.1,12714592.4,0.1799,0.821,,,,,,64.81,Not Available,additional parcel:  1201420000,,,714300.0,submitted,
Ames Building,Reported,302885000,Residence Hall/Dormitory,One Court Street,2108,94800.0,,28.0,,Residence Hall/Dormitory,1893.0,532.7,5.6,8045544,0.7698,0.232,,,,,,7.03,Not Available,Suffolk acquired the building in September 2019. ,,,532700.0,submitted,
20 Somerset Building,Reported,302782000,College/University,20 Somerset Street,2108,103599.0,,,,College/University,2015.0,418.1,4,5961719.2,1.0,,,,,,,8.36,Not Available,,,,418100.0,submitted,
150 Tremont St,Reported,304860000,Residence Hall/Dormitory,150 Tremont,2111,147336.0,,78.0,,Residence Hall/Dormitory,1908.0,431.5,2.9,6430091.7,0.8221,0.1779,,,,,,38.39,Not Available,,,,431500.0,submitted,
