BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),BERDO Emissions Gross Floor Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Total Site Energy Usage (kBtu),Energy Star Score,Site EUI (Energy Use Intensity kBtu/ft²),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Estimated Total GHG Emissions e(kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
101129,1810142000,BOSTON HOUSING AUTHORITY,37-43 Woodglen Rd,Boston,2136.0,1  41 Bow St,Boston,2136.0,3600.0,,3600.0,Multifamily Housing,Multifamily Housing (3600),480781.3,,133.6,366800.0,19480.748,33406.0,6499.471,,,,,,,,,,,,,,,,,,,,,,63.74,25980.219,in compliance,2025.0,Unsure,No,No,No,No,No,,
101130,1810142000,BOSTON HOUSING AUTHORITY,45-55 Woodglen Rd,Boston,2136.0,1  41 Bow St,Boston,2136.0,5600.0,,5600.0,Multifamily Housing,Multifamily Housing (5600),610208.0,,109.0,432900.0,22991.319,51966.0,10110.505,,,,,,,,,,,,,,,,,,,,,,95.09,33101.824,in compliance,2025.0,Unsure,No,No,No,No,No,,
101131,1810142000,BOSTON HOUSING AUTHORITY,117 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3800.0,,3800.0,Multifamily Housing,Multifamily Housing (3800),439417.4,,115.6,319100.0,16947.401,35263.0,6860.769,,,,,,,,,,,,,,,,,,,,,,86.66,23808.17,in compliance,2025.0,Unsure,No,No,No,No,No,,
101132,1810142000,BOSTON HOUSING AUTHORITY,119-125 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3600.0,,3600.0,Multifamily Housing,Multifamily Housing (3600),463088.1,,128.6,349100.0,18540.701,33408.0,6499.86,,,,,,,,,,,,,,,,,,,,,,70.37,25040.561,in compliance,2025.0,Unsure,No,No,No,No,No,,
101133,1810142000,BOSTON HOUSING AUTHORITY,120 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3800.0,,3800.0,Multifamily Housing,Multifamily Housing (3800),470717.4,,123.9,350400.0,18609.744,35263.0,6860.769,,,,,,,,,,,,,,,,,,,,,,118.02,25470.513,in compliance,2025.0,Unsure,No,No,No,No,No,,
101134,1810142000,BOSTON HOUSING AUTHORITY,122-132 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,5600.0,,5600.0,Multifamily Housing,Multifamily Housing (5600),683508.0,,122.1,506200.0,26884.282,51966.0,10110.505,,,,,,,,,,,,,,,,,,,,,,84.69,36994.787,in compliance,2025.0,Unsure,No,No,No,No,No,,
101135,1810142000,BOSTON HOUSING AUTHORITY,134-140 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3600.0,,3600.0,Multifamily Housing,Multifamily Housing (3600),366691.5,,101.9,252700.0,13420.897,33409.0,6500.055,,,,,,,,,,,,,,,,,,,,,,52.34,19920.952,in compliance,2025.0,Unsure,No,No,No,No,No,,
101136,1810142000,BOSTON HOUSING AUTHORITY,142-152 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,5600.0,,5600.0,Multifamily Housing,Multifamily Housing (5600),670492.6,,119.7,443200.0,23538.352,51966.0,10110.505,,,,,,,,,,,,,,,,,,,,,,81.0,33648.857,in compliance,2025.0,Unsure,No,No,No,No,No,,
101137,1810142000,BOSTON HOUSING AUTHORITY,154 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3800.0,,3800.0,Multifamily Housing,Multifamily Housing (3800),404017.4,,106.3,283700.0,15067.307,35263.0,6860.769,,,,,,,,,,,,,,,,,,,,,,77.29,21928.076,in compliance,2025.0,Unsure,No,No,No,No,No,,
101138,1810142000,BOSTON HOUSING AUTHORITY,155 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3800.0,,3800.0,Multifamily Housing,Multifamily Housing (3800),464217.4,,122.2,343900.0,18264.529,35263.0,6860.769,,,,,,,,,,,,,,,,,,,,,,149.51,25125.298,in compliance,2025.0,Unsure,No,No,No,No,No,,
