BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
106019,1604087001,superior realty co inc,540 gallivan boulevard,boston,2124,540 gallivan bl,boston,2122.0,43330.0,,Strip Mall,Strip Mall,64.3,,2788161.4,728900,2059261.4,,,,,,,,,,,,0.03,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
101786,2009215001,cifrino - west roxbury realty corp,1230 vfw parkway,boston,2132,1230 vfw pw,boston,2132.0,55723.0,,Strip Mall,Strip Mall,34.0,,1892762.7,,1892762.6,,,,,,,,,,,,0.05,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
102939,1600752000,fields station llc,1513 dorchester avenue,boston,2122,1513 dorchester av,boston,2122.0,98140.0,,Strip Mall,Strip Mall,64.4,,6324303.0,501500,5822803.2,,,,,,,,,,,,0.05,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
105076,401721000,pizzi salvatore trsts,60 fenway,boston,2115,60 fenway st,boston,2115.0,33882.0,,Multifamily Housing,Multifamily Housing,56.2,98,1904087.2,1603199.9,300887.3,,,,,,,,,,,,27.74,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
105075,401673000,pizzi salvatore trsts,121 saint stephen street,boston,2115,121 st stephen st,boston,2115.0,30654.0,,Multifamily Housing,Multifamily Housing,52.1,100,1596383.4,1315900,280483.5,,,,,,,,,,,,19.75,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
101459,1813011000,brinks incorporated,46 sprague st,boston,2136,46 sprague st,boston,2136.0,34844.0,0,Distribution Center,"Distribution Center, Parking",45.4,13,1580988.8,98718.8,1482270.0,,,,,,,,,,,,1.73,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
101299,801984010,boston water & sewer,0,boston,2119,924  980 harrison av,boston,2119.0,522465.0,43560,Office,,36.3,,18980434.5,8144036.8,10836396.0,,,,,,,,,,,,3.48,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
106243,2201865000,trac 75 llc,61 braintree st,boston,2134,61 braintree st,boston,2134.0,74693.0,28518,Multifamily Housing,"Multifamily Housing, Parking",44.7,96,3337296.0,1497300,1839996.1,,,,,,,,,,,,31.93,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
105215,304693000,prop boston athenauem,10 1/2 beacon street,boston,2108,10 hf beacon st,boston,2108.0,97000.0,,Museum,Museum,121.8,,11817763.4,17000,5431392.2,,,,6369372,,,,,,,,1860.34,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
106618,303515000,walsh james h iii ts,210-218 commercial st,boston,2109,210  218 commercial st,boston,2109.0,25900.0,,Office,Office,42.4,66,1098100.3,352815.2,745284.9,,,,,,,,,,,,8.76,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
100558,901233000,bc camden limited,50-60 camden st,boston,2118,50  60 camden st,boston,2118.0,72228.0,,Multifamily Housing,,68.8,62,4969352.3,3682642.2,1286710.2,,,,,,,,,,,,46.33,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
102279,401085000,clarendon residences llc mass llc,140 clarendon st,boston,2116,410 stuart st,boston,2116.0,186955.0,,Multifamily Housing,Multifamily Housing,72.3,24,13522733.8,,6669750.3,,,,6852983.6,,,,,,,,26.32,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
102538,1809650040,cpt boston business park llc,100-170 meadow road,boston,2136,100  170 meadow rd,boston,2136.0,168252.0,,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,26.7,74,4485259.6,2655368.2,1829891.4,0,,,,,,,,,,,7.5,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
103612,1401103000,hearth inc,16 ronald street,boston,2121,ronald st,boston,2121.0,45648.0,,Multifamily Housing,,35.5,94,1619949.5,796156.2,823793.3,,,,,,,,,,,,32.39,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
101297,801093010,boston water & sewer,120 malden st,boston,2118,120 malden st,boston,2118.0,88481.0,,Other - Utility,,151.1,,13365449.6,8976099.7,4389350.3,,,,,,,,,,,,23.92,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
103368,1202347000,grove hall redeveloper llc,164 seavere st,boston,2121,164  176 seaver st,boston,2121.0,74860.0,,Multifamily Housing,Multifamily Housing,69.4,66,5198371.3,4193690.8,1004680.5,,,,,,,,,,,,48.56,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
106808,902643102,whittier 1a-9 preservation associates lp,11 whittier st,boston,2120,155  185 cabot st,boston,2120.0,11703.0,,Multifamily Housing,Multifamily Housing,44.0,,515030.4,198645.9,316384.5,,,,,,,,,,,,37.92,in compliance,7 - berdo accepted,Yes,No,No,No,No,Yes,23775424.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
